iata_code,name,municipality,iso_region,iso_country,continent,latitude_deg,longitude_deg,elevation_ft
BAQ,Ernesto Cortissoz International Airport,Barranquilla,CO-ATL,CO,SA,10.8896,-74.7808,98
BAR,Qionghai Bo'ao Airport,Qionghai (Basuo),CN-46,CN,AS,19.140951,110.452766,30
BAS,Ballalae Airport,Ballalae,SB-WE,SB,OC,-6.990745,155.886656,5
BAV,Baotou Donghe Airport,Baotou,CN-15,CN,AS,40.560001,109.997002,3321
BAX,Barnaul Airport,Barnaul,RU-ALT,RU,AS,53.36380005,83.53849792,837
BAY,Maramureș International Airport,Tăuții-Măgherăuș,RO-MM,RO,EU,47.658444,23.464445,605
BAZ,Barcelos Airport,Barcelos,BR-AM,BR,SA,-0.981191,-62.918603,112
BBA,Balmaceda Airport,Balmaceda,CL-AI,CL,SA,-45.915968,-71.689499,1722
BBG,Butaritari Airport,Butaritari,KI-G,KI,OC,3.08583,172.811005,5
BBI,Biju Patnaik Airport,Bhubaneswar,IN-OR,IN,AS,20.24440002,85.81780243,138
BBK,Kasane Airport,Kasane,BW-CH,BW,AF,-17.832899,25.162399,3289
BBM,Battambang Airport,Battambang,KH-2,KH,AS,13.0956,103.223999,59
BBN,Bario Airport,Bario,MY-13,MY,AS,3.734648,115.478548,3350
BBO,Berbera Airport,Berbera,SO-WO,SO,AF,10.385035,44.936723,30
BBQ,Codrington Airport,Codrington,AG-10,AG,NA,17.635799,-61.828602,15
BBR,Basse-Terre Baillif Airport,Basse-Terre,GP-U-A,GP,NA,16.013648,-61.742928,59
BBU,Bucharest Băneasa Aurel Vlaicu International Airport,Bucharest,RO-B,RO,EU,44.503201,26.1021,297
BCA,Gustavo Rizo Airport,Baracoa,CU-14,CU,NA,20.36529922,-74.5062027,26
BCD,Bacolod-Silay Airport,Bacolod City,PH-NEC,PH,AS,10.7764,123.014999,82
BCI,Barcaldine Airport,Barcaldine,AU-QLD,AU,OC,-23.566268,145.302086,878
BCM,Bacău George Enescu International  Airport,Bacău,RO-BC,RO,EU,46.5219,26.910299,607
BCN,Josep Tarradellas Barcelona-El Prat Airport,Barcelona,ES-CT,ES,EU,41.2971,2.07846,12
BCU,Sir Abubakar Tafawa Balewa International Airport,Bauchi,NG-BA,NG,AF,10.482833,9.744,1965
BDA,L.F. Wade International Airport,Hamilton,BM-U-A,BM,NA,32.363998,-64.678703,12
BDB,Bundaberg Airport,Bundaberg,AU-QLD,AU,OC,-24.905039,152.322612,107
BDD,Badu Island Airport,Badu Island,AU-QLD,AU,OC,-10.14955,142.173665,14
BDH,Bandar Lengeh International Airport,Bandar Lengeh,IR-22,IR,AS,26.532283,54.82484,67
BDJ,Syamsudin Noor International Airport,Landasan Ulin,ID-KS,ID,AS,-3.44236,114.763,66
BDL,Bradley International Airport,Hartford,US-CT,US,NA,41.93851,-72.688066,173
BDO,Husein Sastranegara International Airport,Bandung,ID-JB,ID,AS,-6.90063,107.575996,2436
BDP,Bhadrapur Airport,Bhadrapur,NP-P1,NP,AS,26.57080078,88.07959747,300
BDQ,Vadodara Airport,Vadodara,IN-GJ,IN,AS,22.336201,73.226303,129
BDS,Brindisi Airport,Brindisi,IT-75,IT,EU,40.6576,17.947001,47
BDT,Gbadolite Airport,Gbadolite,CD-NU,CD,AF,4.252745,20.975271,1509
BDU,Bardufoss Airport,Målselv,NO-55,NO,EU,69.055801,18.5404,252
BEB,Benbecula Airport,Balivanich,GB-SCT,GB,EU,57.48109818,-7.362780094,19
BED,Laurence G Hanscom Field,Bedford,US-MA,US,NA,42.470001,-71.289001,133
BEF,Bluefields Airport,Bluefileds,NI-AS,NI,NA,11.991,-83.774101,20
BEG,Belgrade Nikola Tesla Airport,Belgrade,RS-00,RS,EU,44.818401,20.309099,335
BEJ,Kalimarau Airport,Tanjung Redeb - Borneo Island,ID-KI,ID,AS,2.14776,117.430705,59
BEK,Bareilly Air Force Station,Bareilly,IN-UP,IN,AS,28.4221,79.450798,580
BEL,Val de Cans/Júlio Cezar Ribeiro International Airport,Belém,BR-PA,BR,SA,-1.379279,-48.476207,54
BEN,Benina International Airport,Benina,LY-BA,LY,AF,32.096802,20.269501,433
